Loyalty Number,months_since_last_any_activity,tenure_months,flight_trend_ratio,months_since_last_redemption,flights_last_6m,points_trend_ratio,distance_per_flight,CLV,months_since_last_flight,distance_last_12m
480934,-0.80158347,0.19276878,0.011668749,-1.3091729,-0.415841,-0.24355754,0.10101068,0.1645079,-0.1896832,-0.006505148
549612,-0.7368145,0.13603733,-0.30602843,-0.43873778,-0.16633949,-0.26613963,-0.35503855,0.29130504,-0.19725473,-0.50687325
429460,-1.2700397,0.48752522,0.087094605,-0.059066083,0.0027650753,0.16931227,0.24020575,0.42565423,-0.17867544,0.014353837
608370,-1.1330161,-0.5349332,-0.23014966,-0.103986435,-0.35428867,-0.0017351185,-0.018100198,0.06939497,-0.27320087,-0.18310493
530508,-1.7582402,-0.14550968,-0.3705675,0.038938966,0.08502675,-0.153027,-0.39292356,-0.04147013,-0.259049,-0.14942157
193662,-1.0894159,-2.523475,-0.3560674,-0.7921441,-1.2447975,-0.2124176,-0.36444193,0.06554794,-0.18533556,0.29992217
927943,-0.64629215,0.26950404,-0.91929626,-0.1256312,-0.4298901,0.20807524,-0.34062806,0.4113113,-0.15986207,-0.20133257
188893,-1.5422864,0.24164443,0.05854416,0.029966153,-0.3787661,-0.00016029552,-0.3093492,0.35921708,-0.27024612,-0.13545123
852392,0.64514494,-0.04925903,0.6187654,-1.0621101,0.51170695,0.09653141,-0.27594495,-0.115886,0.04001749,-0.112809576
866307,-0.72804445,0.608345,-0.29814285,-0.25983292,-0.11616374,-0.10307819,-0.19456084,-0.08969582,-0.20271538,-0.39321014
932823,-0.82403433,0.34213117,0.0030853779,-0.47597098,-0.4442238,-0.25538647,0.14621894,-0.0077259606,-0.110611886,-0.18682952
144514,-1.2367907,0.39841735,-0.44170117,-0.009577625,0.0075455382,-0.5650366,-0.4207472,0.12642924,-0.24514127,-0.33615658
988178,-0.8726645,0.25409117,0.047969323,-0.49242568,-0.35148978,-0.091374874,-0.100981556,0.02562262,-0.11614666,0.36908093
286114,-0.8792142,0.6675407,0.03233428,-0.49281213,0.014519194,-1.1652726,0.0006206664,0.05845869,-0.22414476,-0.30618015
205785,-0.70558476,0.812317,-0.3434852,-0.23269719,-0.2076287,-0.48760533,-0.25830552,0.24617933,-0.19592138,-0.48164183
735304,-0.65249735,0.92174256,-0.9161837,-0.39294156,0.30763182,-0.56576556,-0.4284786,-0.058194783,-0.28667343,-0.9606034
438936,-1.5225352,0.20644975,-0.27894786,-0.07182279,-0.36668617,-0.28154722,-0.16529644,-0.13294841,-0.23607495,-0.36860633
354730,-1.3604658,0.069414794,0.11307704,0.056926463,-0.2646422,0.039015256,0.03380435,0.54013413,-0.14638111,0.12564561
413741,-0.85430956,-0.040698003,-0.3362764,-0.22579452,-0.31234556,0.1456782,0.117189065,0.59311724,-0.24636553,-0.19424191
642313,-0.6847894,1.1550732,-0.12166899,-1.0288067,0.041122638,-0.4500881,-0.3356547,0.35658115,-0.17623992,0.015598704
263080,-1.2482871,0.22322223,-0.26392806,-0.0040644207,0.27316123,0.0015050946,-0.057829417,5.3830212e-05,-0.28304625,0.1129865
109767,-0.61106706,0.61160314,-0.24556898,-0.4473079,-0.40245858,0.10367976,-0.22326964,0.08064963,-0.20429389,-0.5322767
