Loyalty Number,Table,Anomaly Type,Details,Recommended Action
100504,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
101709,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
101876,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
103352,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
103383,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
104739,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
105251,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
105352,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
105700,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
106509,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
106589,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
107420,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
107519,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (2 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
108346,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
108367,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
108857,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
108896,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
109612,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
109956,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
110030,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
110073,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
110142,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (2 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
110211,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
110603,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-10, Flight activity up to 2018-12 (14 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
111387,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
111646,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
111899,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
112661,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
112797,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
113316,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
