Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,FlightInactivity,RedemptionDormancy,RawSlope,NormalizedMomentum,BDS,Class,Churned
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,0.0,0.0,188.1818181818182,0.6115885389010429,0.11652343832968712,0,0
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,Standard,2016,3,,,0.0,0.36363636363636365,-146.8181818181818,0.4550498077780847,0.2725759667574837,0,0
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,0.0,0.8181818181818182,101.81818181818181,0.5712325566576751,0.3740847784572429,2,1
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,3839.75,Standard,2013,2,,,0.09090909090909091,0.8181818181818182,-196.6,0.43178777001338126,0.45228185081416744,0,0
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,0.0,1.0,61.89090909090909,0.5525753488668466,0.43422739533994603,0,0
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,0.0,0.0,786.0454545454545,0.8909581359784202,0.03271255920647393,0,0
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,Standard,2014,6,,,0.0,0.09090909090909091,-132.79090909090908,0.4616044688940338,0.18879138660451716,0,0
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,0.0,0.9090909090909091,-358.08181818181816,0.35633057921454525,0.4658280989629091,0,0
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,0.18181818181818182,0.5454545454545454,-511.25454545454545,0.2847560587073342,0.4509368187514361,0,0
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,0.0,0.09090909090909091,-61.06363636363636,0.49512117414668344,0.17873637502872225,0,0
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,0.0,0.45454545454545453,548.8272727272728,0.780110872751216,0.20233037453827152,0,0
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,0.09090909090909091,1.0,58.018181818181816,0.5507657016630914,0.4711339258647089,0,0
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,3871.07,Standard,2013,10,,,0.0,0.45454545454545453,-149.63636363636363,0.45373292835751156,0.3002437578563829,0,0
