Loyalty Number,education_ordinal,loyalty_card_ordinal,is_married,is_single,is_male,is_promo_enrollment,tenure_months,salary_imputed,province_Alberta,province_British Columbia,province_Manitoba,province_New Brunswick,province_Newfoundland,province_Nova Scotia,province_Ontario,province_Prince Edward Island,province_Quebec,province_Saskatchewan,province_Yukon
480934,3,1,1,0,0,0,21,83236.0,0,0,0,0,0,0,1,0,0,0,0
549612,2,1,0,0,1,0,20,74161.0,1,0,0,0,0,0,0,0,0,0,0
429460,2,1,0,1,1,0,40,74161.0,0,1,0,0,0,0,0,0,0,0,0
608370,2,1,0,1,1,0,57,74161.0,0,0,0,0,0,0,1,0,0,0,0
530508,3,1,1,0,1,0,37,103495.0,0,0,0,0,0,0,0,0,1,0,0
193662,3,1,1,0,1,0,66,51124.0,0,0,0,0,0,0,0,0,0,0,1
927943,2,1,0,1,0,0,41,74161.0,0,0,0,0,0,0,1,0,0,0,0
188893,3,1,1,0,1,0,11,100159.0,0,0,0,0,0,0,1,0,0,0,0
852392,3,1,1,0,0,0,30,100159.0,0,0,0,0,0,0,0,0,1,0,0
866307,3,1,1,0,1,0,13,100159.0,0,0,0,0,0,0,1,0,0,0,0
932823,3,1,1,0,0,0,32,66444.0,0,1,0,0,0,0,0,0,0,0,0
144514,3,1,1,0,0,0,17,49618.0,0,1,0,0,0,0,0,0,0,0,0
988178,2,1,0,1,1,0,49,74161.0,0,0,0,0,0,0,0,0,1,0,0
286114,2,1,0,1,0,0,12,74161.0,0,0,0,0,0,0,1,0,0,0,0
205785,4,1,1,0,1,0,15,128118.0,0,0,0,0,0,0,1,0,0,0,0
735304,4,1,1,0,0,0,11,128118.0,1,0,0,0,0,0,0,0,0,0,0
438936,3,1,1,0,1,0,49,94092.0,0,0,0,0,0,0,0,0,1,0,0
354730,2,1,1,0,0,0,37,74161.0,0,0,0,1,0,0,0,0,0,0,0
413741,2,1,1,0,0,0,28,74161.0,0,0,0,0,0,0,1,0,0,0,0
642313,2,1,1,0,1,0,20,74161.0,1,0,0,0,0,0,0,0,0,0,0
263080,2,1,0,1,1,0,42,74161.0,1,0,0,0,0,0,0,0,0,0,0
109767,3,1,0,1,0,0,18,89062.0,0,0,0,0,0,0,1,0,0,0,0
217754,3,1,0,1,0,0,29,102400.0,0,0,0,0,0,0,0,0,1,0,0
157005,3,1,1,0,1,0,13,98629.0,0,1,0,0,0,0,0,0,0,0,0
608758,3,1,1,0,1,0,52,63795.0,0,0,0,0,0,0,1,0,0,0,0
599341,3,1,1,0,0,0,24,54890.0,0,0,0,0,0,0,0,0,1,0,0
333502,2,1,1,0,1,0,44,74161.0,0,1,0,0,0,0,0,0,0,0,0
543918,1,1,1,0,1,0,60,40736.0,0,0,0,0,0,0,0,0,1,0,0
119200,3,1,0,0,0,0,6,69835.0,0,1,0,0,0,0,0,0,0,0,0
238119,3,1,1,0,1,0,54,75980.0,0,0,0,0,0,0,0,0,1,0,0
730388,2,1,0,1,1,0,66,74161.0,0,0,0,0,0,0,1,0,0,0,0
127400,2,1,0,1,0,0,41,74161.0,0,1,0,0,0,0,0,0,0,0,0
324557,2,1,0,1,0,0,57,74161.0,0,0,0,0,0,0,0,0,1,0,0
742002,2,1,0,1,0,0,18,74161.0,0,0,0,0,0,0,1,0,0,0,0
