Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,FlightInactivity,RedemptionDormancy,RawSlope,NormalizedMomentum,BDS,Class,Churned,churn_prob,churn_prediction,churn_risk_tier,churn_prediction_conservative,months_since_last_flight,flights_last_12m,redemption_rate,loyalty_card_ordinal,tenure_months,cluster_id,archetype,umap_x,umap_y
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,0.0,0.0,188.1818181818182,0.6115885389010429,0.1165234383296871,0,0,0.039012175,0,Low,0,0,17,0.0131654264453348,1,21,1,Budget Explorers,15.450342,3.1700127
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,Standard,2016,3,,,0.0,0.3636363636363636,-146.8181818181818,0.4550498077780847,0.2725759667574837,0,0,0.009769792,0,Low,0,0,31,0.0217788355102944,1,20,1,Budget Explorers,17.204372,7.4393544
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,0.0,0.8181818181818182,101.8181818181818,0.5712325566576751,0.3740847784572429,2,1,0.8159103,1,High,1,0,16,0.0162913272640153,1,40,1,Budget Explorers,14.689832,2.3888628
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,3839.75,Standard,2013,2,,,0.0909090909090909,0.8181818181818182,-196.6,0.4317877700133812,0.4522818508141674,0,0,0.011105317,0,Low,0,1,23,0.0264131331967839,1,57,1,Budget Explorers,18.781677,0.016363988
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,0.0,1.0,61.89090909090909,0.5525753488668466,0.434227395339946,0,0,0.026358137,0,Low,0,0,11,0.0,1,37,1,Budget Explorers,10.761582,0.33173794
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,0.0,0.0,786.0454545454545,0.8909581359784202,0.0327125592064739,0,0,0.00019061878,0,Low,0,0,45,0.0112504610844706,1,66,1,Budget Explorers,17.264004,7.8739433
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,Standard,2014,6,,,0.0,0.0909090909090909,-132.79090909090908,0.4616044688940338,0.1887913866045171,0,0,0.023246834,0,Low,0,0,16,0.0541213350543979,1,41,1,Budget Explorers,14.605859,2.5386388
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,0.0,0.9090909090909092,-358.08181818181816,0.3563305792145452,0.4658280989629091,0,0,0.096373454,0,Low,0,0,23,0.0079081330649934,1,11,1,Budget Explorers,18.683813,-0.2606594
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,0.1818181818181818,0.5454545454545454,-511.2545454545455,0.2847560587073342,0.4509368187514361,0,0,0.3981617,1,Medium,0,2,18,0.0150226244343891,1,30,1,Budget Explorers,16.651842,3.523716
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,0.0,0.0909090909090909,-61.06363636363636,0.4951211741466834,0.1787363750287222,0,0,0.08184571,0,Low,0,0,23,0.0375688644037675,1,13,1,Budget Explorers,18.787733,0.107986405
