Loyalty Number,CLV,FlightInactivity,RedemptionDormancy,RawSlope,NormalizedMomentum,BDS,Class,Churned,months_since_last_flight,months_since_last_redemption,months_since_last_any_activity,flights_last_3m,flights_last_6m,flights_last_12m,active_months_last_12m,zero_flight_months_last_12m,flights_total_ever,distance_last_12m,points_accumulated_last_12m,points_redeemed_last_12m,dollar_redeemed_last_12m,points_accumulated_total,points_redeemed_total,redemption_rate,flight_trend_ratio,points_trend_ratio,distance_per_flight,pref_season,flew_in_winter,flew_in_summer,flew_in_spring,flew_in_fall,education_ordinal,loyalty_card_ordinal,is_married,is_single,is_male,is_promo_enrollment,tenure_months,salary_imputed,province_Alberta,province_British Columbia,province_Manitoba,province_New Brunswick,province_Newfoundland,province_Nova Scotia,province_Ontario,province_Prince Edward Island,province_Quebec,province_Saskatchewan,province_Yukon
480934,3839.14,0.0,0.0,188.1818181818182,0.6115885389010429,0.1165234383296871,0,0,0,0,0,2,12,17,6,6,17,24458,24458.0,322,58,24458.0,322,0.0131654264453348,0.4705882352941176,0.5707743887480579,1438.7058823529412,Summer,1,1,1,1,3,1,1,0,0,0,21,83236.0,0,0,0,0,0,0,1,0,0,0,0
549612,3839.61,0.0,0.3636363636363636,-146.8181818181818,0.4550498077780847,0.2725759667574837,0,0,0,4,0,7,16,31,8,4,31,36136,36136.0,787,142,36136.0,787,0.0217788355102944,0.9032258064516128,0.5154970112906797,1165.6774193548388,Fall,1,1,1,1,2,1,0,0,1,0,20,74161.0,1,0,0,0,0,0,0,0,0,0,0
429460,3839.75,0.0,0.8181818181818182,101.8181818181818,0.5712325566576751,0.3740847784572429,2,1,0,9,0,4,7,16,7,5,16,22957,22957.0,374,67,22957.0,374,0.0162913272640153,1.0,0.8788604782854903,1434.8125,Fall,1,1,1,1,2,1,0,1,1,0,40,74161.0,0,1,0,0,0,0,0,0,0,0,0
608370,3839.75,0.0909090909090909,0.8181818181818182,-196.6,0.4317877700133812,0.4522818508141674,0,0,1,9,1,5,10,23,8,4,23,32711,32711.0,864,156,32711.0,864,0.0264131331967839,0.8695652173913043,0.7248937666228485,1422.2173913043478,Spring,1,1,1,1,2,1,0,1,1,0,57,74161.0,0,0,0,0,0,0,1,0,0,0,0
530508,3842.79,0.0,1.0,61.89090909090909,0.5525753488668466,0.434227395339946,0,0,0,72,0,2,6,11,4,8,11,19886,19886.0,0,0,19886.0,0,0.0,0.7272727272727273,0.7007945288142412,1807.8181818181815,Fall,1,1,1,1,3,1,1,0,1,0,37,103495.0,0,0,0,0,0,0,0,0,1,0,0
193662,3844.57,0.0,0.0,786.0454545454545,0.8909581359784202,0.0327125592064739,0,0,0,0,0,12,34,45,10,2,45,75908,75908.0,854,154,75908.0,854,0.0112504610844706,1.0666666666666669,1.3319808188860198,1686.8444444444444,Fall,1,1,1,1,3,1,1,0,1,0,66,51124.0,0,0,0,0,0,0,0,0,0,0,1
927943,3857.95,0.0,0.0909090909090909,-132.79090909090908,0.4616044688940338,0.1887913866045171,0,0,0,1,0,5,11,16,6,6,16,21692,21692.0,1174,211,21692.0,1174,0.0541213350543979,1.25,0.8511893785727457,1355.75,Fall,1,1,1,1,2,1,0,1,0,0,41,74161.0,0,0,0,0,0,0,1,0,0,0,0
188893,3861.49,0.0,0.9090909090909092,-358.08181818181816,0.3563305792145452,0.4658280989629091,0,0,0,10,0,6,11,23,8,4,23,42235,42235.0,334,60,42235.0,334,0.0079081330649934,1.0434782608695652,0.8557831182668403,1836.304347826087,Fall,1,1,1,1,3,1,1,0,1,0,11,100159.0,0,0,0,0,0,0,1,0,0,0,0
852392,3861.49,0.1818181818181818,0.5454545454545454,-511.2545454545455,0.2847560587073342,0.4509368187514361,0,0,2,6,2,1,3,18,6,6,18,33150,33150.0,498,90,33150.0,498,0.0150226244343891,0.2222222222222222,0.1644645550527903,1841.6666666666667,Spring,1,1,1,1,3,1,1,0,0,0,30,100159.0,0,0,0,0,0,0,0,0,1,0,0
866307,3861.49,0.0,0.0909090909090909,-61.06363636363636,0.4951211741466834,0.1787363750287222,0,0,0,1,0,4,8,23,7,5,23,28135,28135.0,1057,190,28135.0,1057,0.0375688644037675,0.6956521739130435,0.7906166696285765,1223.2608695652175,Spring,1,1,1,1,3,1,1,0,1,0,13,100159.0,0,0,0,0,0,0,1,0,0,0,0
932823,3863.31,0.0,0.4545454545454545,548.8272727272728,0.780110872751216,0.2023303745382715,0,0,0,5,0,10,17,22,8,4,22,43861,43861.0,499,90,43861.0,499,0.0113768495930325,1.818181818181818,1.8721871366361915,1993.6818181818185,Fall,1,1,1,1,3,1,1,0,0,0,32,66444.0,0,1,0,0,0,0,0,0,0,0,0
144514,3864.78,0.0909090909090909,1.0,58.018181818181816,0.5507657016630914,0.4711339258647089,0,0,1,72,1,2,7,10,4,8,10,13614,13614.0,0,0,13614.0,0,0.0,0.8,1.3703540473042457,1361.4,Summer,1,1,0,1,3,1,1,0,0,0,17,49618.0,0,1,0,0,0,0,0,0,0,0,0
988178,3871.07,0.0,0.4545454545454545,-149.63636363636363,0.4537329283575115,0.3002437578563829,0,0,0,5,0,4,15,33,11,1,33,46175,46175.0,679,122,46175.0,679,0.0147049269085002,0.4848484848484848,0.637920952896589,1399.2424242424242,Fall,1,1,1,1,2,1,0,1,1,0,49,74161.0,0,0,0,0,0,0,0,0,1,0,0
286114,3872.22,0.0,0.6363636363636364,134.7,0.5865975658970711,0.3149298211399695,0,0,0,7,0,1,8,11,5,7,11,16004,16004.0,1165,209,16004.0,1165,0.0727943014246438,0.3636363636363636,0.3206698325418645,1454.909090909091,Summer,1,1,0,1,2,1,0,1,0,0,12,74161.0,0,0,0,0,0,0,1,0,0,0,0
205785,3873.65,0.0,0.0909090909090909,79.98181818181818,0.5610288651472994,0.1589640677285374,0,0,0,1,0,6,19,26,8,4,26,39760,39760.0,1233,222,39760.0,1233,0.0310110663983903,0.9230769230769232,0.6191146881287727,1529.2307692307693,Fall,1,1,1,1,4,1,1,0,1,0,15,128118.0,0,0,0,0,0,0,1,0,0,0,0
735304,3873.65,0.0909090909090909,0.6363636363636364,57.85454545454545,0.5506892376967354,0.3620659559637066,0,0,1,7,1,2,3,6,5,7,6,9838,9838.0,608,109,9838.0,608,0.0618011791014433,1.3333333333333333,1.652368367554381,1639.6666666666667,Spring,1,1,1,1,4,1,1,0,0,0,11,128118.0,1,0,0,0,0,0,0,0,0,0,0
