Loyalty Number,months_since_last_flight,months_since_last_redemption,months_since_last_any_activity,flights_last_3m,flights_last_6m,flights_last_12m,active_months_last_12m,zero_flight_months_last_12m,flights_total_ever,distance_last_12m,points_accumulated_last_12m,points_redeemed_last_12m,dollar_redeemed_last_12m,points_accumulated_total,points_redeemed_total,redemption_rate,flight_trend_ratio,points_trend_ratio,distance_per_flight,pref_season,flew_in_winter,flew_in_summer,flew_in_spring,flew_in_fall
480934,0,0,0,2,12,17,6,6,17,24458,24458.0,322,58,24458.0,322,0.01316542644533486,0.47058823529411764,0.5707743887480579,1438.7058823529412,Summer,1,1,1,1
549612,0,4,0,7,16,31,8,4,31,36136,36136.0,787,142,36136.0,787,0.021778835510294442,0.9032258064516129,0.5154970112906797,1165.6774193548388,Fall,1,1,1,1
429460,0,9,0,4,7,16,7,5,16,22957,22957.0,374,67,22957.0,374,0.01629132726401533,1.0,0.8788604782854903,1434.8125,Fall,1,1,1,1
608370,1,9,1,5,10,23,8,4,23,32711,32711.0,864,156,32711.0,864,0.026413133196783956,0.8695652173913043,0.7248937666228485,1422.2173913043478,Spring,1,1,1,1
530508,0,72,0,2,6,11,4,8,11,19886,19886.0,0,0,19886.0,0,0.0,0.7272727272727273,0.7007945288142412,1807.8181818181818,Fall,1,1,1,1
193662,0,0,0,12,34,45,10,2,45,75908,75908.0,854,154,75908.0,854,0.011250461084470675,1.0666666666666667,1.3319808188860198,1686.8444444444444,Fall,1,1,1,1
927943,0,1,0,5,11,16,6,6,16,21692,21692.0,1174,211,21692.0,1174,0.05412133505439794,1.25,0.8511893785727457,1355.75,Fall,1,1,1,1
188893,0,10,0,6,11,23,8,4,23,42235,42235.0,334,60,42235.0,334,0.00790813306499349,1.0434782608695652,0.8557831182668403,1836.304347826087,Fall,1,1,1,1
852392,2,6,2,1,3,18,6,6,18,33150,33150.0,498,90,33150.0,498,0.015022624434389141,0.2222222222222222,0.16446455505279034,1841.6666666666667,Spring,1,1,1,1
866307,0,1,0,4,8,23,7,5,23,28135,28135.0,1057,190,28135.0,1057,0.03756886440376755,0.6956521739130435,0.7906166696285765,1223.2608695652175,Spring,1,1,1,1
932823,0,5,0,10,17,22,8,4,22,43861,43861.0,499,90,43861.0,499,0.011376849593032534,1.8181818181818181,1.8721871366361915,1993.6818181818182,Fall,1,1,1,1
144514,1,72,1,2,7,10,4,8,10,13614,13614.0,0,0,13614.0,0,0.0,0.8,1.3703540473042457,1361.4,Summer,1,1,0,1
988178,0,5,0,4,15,33,11,1,33,46175,46175.0,679,122,46175.0,679,0.01470492690850027,0.48484848484848486,0.637920952896589,1399.2424242424242,Fall,1,1,1,1
286114,0,7,0,1,8,11,5,7,11,16004,16004.0,1165,209,16004.0,1165,0.07279430142464384,0.36363636363636365,0.32066983254186454,1454.909090909091,Summer,1,1,0,1
205785,0,1,0,6,19,26,8,4,26,39760,39760.0,1233,222,39760.0,1233,0.031011066398390342,0.9230769230769231,0.6191146881287727,1529.2307692307693,Fall,1,1,1,1
735304,1,7,1,2,3,6,5,7,6,9838,9838.0,608,109,9838.0,608,0.061801179101443386,1.3333333333333333,1.652368367554381,1639.6666666666667,Spring,1,1,1,1
438936,0,72,0,4,17,26,8,4,26,31387,31387.0,0,0,31387.0,0,0.0,0.6153846153846154,0.7441297352407048,1207.1923076923076,Summer,1,1,1,1
354730,0,72,0,5,14,20,8,4,20,36872,36872.0,0,0,36872.0,0,0.0,1.0,0.6730310262529833,1843.6,Summer,1,1,1,1
413741,0,1,0,5,14,22,8,4,22,42474,42474.0,1410,253,42474.0,1410,0.033196779206102554,0.9090909090909091,0.9187738381127278,1930.6363636363637,Fall,1,1,1,1
642313,0,0,0,3,8,17,7,5,17,21564,21564.0,1506,271,21564.0,1506,0.06983861992209238,0.7058823529411765,0.6985716935633464,1268.4705882352941,Fall,1,1,1,1
263080,1,72,1,2,6,14,4,8,14,16998,16998.0,0,0,16998.0,0,0.0,0.5714285714285714,0.4428756324273444,1214.142857142857,Spring,0,1,1,1
109767,0,2,0,4,10,18,10,2,18,28784,28784.0,1151,207,28784.0,1151,0.03998749305169538,0.8888888888888888,0.8028071150639244,1599.111111111111,Fall,1,1,1,1
217754,3,72,3,0,13,20,7,5,20,33727,33727.0,0,0,33727.0,0,0.0,0.0,0.0,1686.35,Summer,1,1,1,0
157005,0,72,0,6,14,28,11,1,28,36212,36212.0,0,0,36212.0,0,0.0,0.8571428571428571,0.7108140947752126,1293.2857142857142,Fall,1,1,1,1
608758,0,72,0,4,10,12,6,6,12,22924,22924.0,0,0,22924.0,0,0.0,1.3333333333333333,1.1320886407258768,1910.3333333333333,Summer,1,1,1,1
599341,0,0,0,10,22,32,11,1,32,57152,57152.0,983,177,57152.0,983,0.01719974804031355,1.25,1.151875699888018,1786.0,Fall,1,1,1,1
