Loyalty Number,umap_x,umap_y,archetype
480934,15.450342,3.1700127,Budget Explorers
549612,17.204372,7.4393544,Budget Explorers
429460,14.689832,2.3888628,Budget Explorers
608370,18.781677,0.016363988,Budget Explorers
530508,10.761582,0.33173794,Budget Explorers
193662,17.264004,7.8739433,Budget Explorers
927943,14.605859,2.5386388,Budget Explorers
188893,18.683813,-0.2606594,Budget Explorers
852392,16.651842,3.523716,Budget Explorers
866307,18.787733,0.107986405,Budget Explorers
932823,19.28656,0.45248055,Budget Explorers
144514,10.7693815,0.6210512,Budget Explorers
988178,17.260876,7.688532,Budget Explorers
286114,12.102682,1.6870457,Budget Explorers
205785,17.473307,-0.39923286,Budget Explorers
735304,11.023756,1.7974066,Budget Explorers
438936,17.210562,-0.37955368,Budget Explorers
354730,19.09558,2.4377239,Budget Explorers
413741,19.07718,0.41038427,Budget Explorers
642313,14.965167,2.701356,Budget Explorers
263080,13.265232,-0.006498532,Budget Explorers
109767,17.022738,3.6159806,Budget Explorers
217754,18.737093,2.4796054,Budget Explorers
157005,17.456871,6.897503,Budget Explorers
608758,11.848144,-0.1858593,Budget Explorers
599341,17.224596,7.509857,Budget Explorers
333502,13.415604,-0.20318009,Budget Explorers
543918,17.616674,7.109287,Budget Explorers
119200,9.8329735,1.1953274,Budget Explorers
238119,19.292038,0.49909362,Budget Explorers
730388,19.076027,2.457754,Budget Explorers
127400,11.793105,1.5811687,Budget Explorers
324557,14.659305,2.4220054,Budget Explorers
742002,12.600766,-0.28744903,Budget Explorers
536567,16.373985,4.1513395,Budget Explorers
704835,14.03174,2.3289359,Budget Explorers
612905,15.458756,3.1131957,Budget Explorers
679908,18.074139,-0.1768421,Budget Explorers
704150,16.757713,3.6209493,Budget Explorers
596179,17.32889,7.248772,Budget Explorers
370450,12.446049,1.7834234,Budget Explorers
501030,13.372372,-0.17450714,Budget Explorers
878633,18.029596,-0.08444553,Budget Explorers
285938,17.583372,2.3827758,Budget Explorers
588237,18.737215,0.11900092,Budget Explorers
645280,17.45751,-0.37678233,Budget Explorers
124678,17.251919,-0.3307309,Budget Explorers
186015,12.475931,0.1042348,Budget Explorers
589580,18.617691,-0.07362274,Budget Explorers
623688,17.319874,-0.31755266,Budget Explorers
256147,18.74346,-0.10083869,Budget Explorers
329382,-3.1268876,13.239379,Drifting Stars
140392,13.997331,2.2566524,Budget Explorers
230908,17.391762,-0.27255082,Budget Explorers
972581,14.656031,2.4052026,Budget Explorers
910875,10.282626,1.0158362,Budget Explorers
501704,14.107463,1.9938923,Budget Explorers
567875,9.699902,1.483719,Budget Explorers
688524,10.899229,2.0766199,Budget Explorers
269070,17.229446,-0.3667704,Budget Explorers
387705,18.975756,2.2928343,Budget Explorers
923293,17.231922,7.285405,Budget Explorers
328936,17.477749,-0.38044664,Budget Explorers
845864,17.575945,-0.34328422,Budget Explorers
645265,14.41629,3.1818907,Budget Explorers
158560,12.413151,1.663013,Budget Explorers
417584,17.744396,2.931066,Budget Explorers
425854,18.85358,2.2440145,Budget Explorers
695855,13.982539,2.2067902,Budget Explorers
699511,19.15695,2.4749885,Budget Explorers
377322,17.342924,-0.31234407,Budget Explorers
511053,12.867085,2.0634737,Budget Explorers
796670,17.254007,-0.34358695,Budget Explorers
556136,15.284839,2.7653296,Budget Explorers
513081,11.565249,1.624476,Budget Explorers
930718,19.038345,0.41164544,Budget Explorers
235872,19.5521,1.1942214,Budget Explorers
295147,13.886774,2.283061,Budget Explorers
306110,11.070906,1.7389277,Budget Explorers
295217,11.405854,1.5389302,Budget Explorers
591731,18.053556,-0.20286205,Budget Explorers
326905,17.608324,2.499345,Budget Explorers
375511,18.758522,0.11506445,Budget Explorers
797685,11.027274,1.9109075,Budget Explorers
216467,10.950608,0.4892284,Budget Explorers
539673,17.66907,3.0586767,Budget Explorers
484718,15.381638,3.1359076,Budget Explorers
528492,17.700521,3.099381,Budget Explorers
632793,13.949823,2.2973552,Budget Explorers
705196,17.418417,6.9915686,Budget Explorers
119488,10.793538,0.33198914,Budget Explorers
287750,16.946348,3.4360337,Budget Explorers
735846,10.989797,2.0023172,Budget Explorers
606026,17.302794,-0.30536136,Budget Explorers
460291,14.272382,1.7201203,Budget Explorers
743001,10.031034,1.0496378,Budget Explorers
869799,9.845493,1.2309527,Budget Explorers
279419,17.265568,7.869357,Budget Explorers
170585,15.360847,3.147472,Budget Explorers
188340,13.937426,2.2975082,Budget Explorers
670817,18.945463,2.2572865,Budget Explorers
509513,19.226604,0.4884973,Budget Explorers
779247,19.23858,0.56618834,Budget Explorers
111255,17.601088,2.3649104,Budget Explorers
763061,11.519149,1.3753358,Budget Explorers
428919,12.740254,-0.430679,Budget Explorers
139863,14.6009445,2.4825878,Budget Explorers
695755,-3.1399207,13.247182,Drifting Stars
355331,17.177013,7.3812513,Budget Explorers
578837,18.910759,2.2681544,Budget Explorers
467182,19.184866,0.48230067,Budget Explorers
601407,11.301461,0.5950096,Budget Explorers
700871,20.081598,1.1437513,Budget Explorers
203809,-3.1246314,13.217364,Drifting Stars
705589,18.613142,-0.19761716,Budget Explorers
746060,17.279335,-0.26598814,Budget Explorers
469718,19.014496,2.353671,Budget Explorers
164429,17.421543,-0.35936338,Budget Explorers
708373,17.560793,2.3769116,Budget Explorers
225088,11.827997,-0.06506364,Budget Explorers
100214,11.088988,1.8312083,Budget Explorers
268128,17.498034,3.151055,Budget Explorers
930584,14.662209,2.494309,Budget Explorers
